,const_range,g_stmt_len,const_len,wiki_stmt_len,wiki_len
371,ccrdfconst_7581-7600.ttl,334,18,93,2
372,ccrdfconst_7601-7620.ttl,323,19,68,1
373,ccrdfconst_7621-7640.ttl,317,18,48,1
374,ccrdfconst_7641-7660.ttl,310,11,170,4
375,ccrdfconst_7661-7680.ttl,318,18,48,1
376,ccrdfconst_7681-7700.ttl,293,16,77,1
377,ccrdfconst_7701-7720.ttl,290,16,107,3
378,ccrdfconst_7721-7740.ttl,343,20,145,4
379,ccrdfconst_7741-7760.ttl,245,16,53,1
380,ccrdfconst_7761-7780.ttl,287,17,73,2
381,ccrdfconst_7781-7800.ttl,293,18,0,0
382,ccrdfconst_7801-7820.ttl,355,20,141,4
383,ccrdfconst_7821-7840.ttl,302,17,120,5
384,ccrdfconst_7841-7860.ttl,284,19,77,1
385,ccrdfconst_7861-7880.ttl,288,15,53,2
386,ccrdfconst_7881-7900.ttl,360,19,124,3
387,ccrdfconst_7901-7920.ttl,325,19,161,5
388,ccrdfconst_7921-7940.ttl,300,20,0,0
389,ccrdfconst_7941-7960.ttl,376,19,113,2
390,ccrdfconst_7961-7980.ttl,341,18,57,1
391,ccrdfconst_7981-8000.ttl,274,19,49,1
392,ccrdfconst_8001-8020.ttl,319,17,83,1
393,ccrdfconst_8021-8040.ttl,281,18,66,1
394,ccrdfconst_8041-8060.ttl,175,8,0,0
395,ccrdfconst_8061-8080.ttl,201,7,49,1
396,ccrdfconst_8101-8120.ttl,260,16,0,0
397,ccrdfconst_8121-8140.ttl,302,15,0,0
398,ccrdfconst_8141-8160.ttl,408,18,144,3
399,ccrdfconst_8161-8180.ttl,313,19,110,3
400,ccrdfconst_8181-8200.ttl,359,18,105,2
401,ccrdfconst_8201-8220.ttl,297,18,0,0
402,ccrdfconst_8221-8240.ttl,247,14,85,2
403,ccrdfconst_8241-8260.ttl,213,9,0,0
404,ccrdfconst_8261-8280.ttl,353,17,136,3
405,ccrdfconst_8281-8300.ttl,354,17,167,4
406,ccrdfconst_8301-8320.ttl,272,16,84,2
407,ccrdfconst_8321-8340.ttl,343,19,168,4
408,ccrdfconst_8341-8360.ttl,233,14,55,2
409,ccrdfconst_8361-8380.ttl,395,19,197,5
410,ccrdfconst_8381-8400.ttl,334,19,112,3
411,ccrdfconst_8401-8420.ttl,310,19,77,1
412,ccrdfconst_8421-8440.ttl,285,16,68,2
413,ccrdfconst_8441-8460.ttl,274,17,88,3
414,ccrdfconst_8461-8480.ttl,270,17,28,1
415,ccrdfconst_8481-8500.ttl,266,14,69,2
416,ccrdfconst_8501-8520.ttl,339,18,158,4
417,ccrdfconst_8521-8540.ttl,317,16,125,2
418,ccrdfconst_8541-8560.ttl,268,15,72,1
419,ccrdfconst_8561-8580.ttl,422,18,73,1
420,ccrdfconst_8581-8600.ttl,314,16,76,2
421,ccrdfconst_8601-8620.ttl,352,17,120,2
422,ccrdfconst_8621-8640.ttl,248,16,53,1
423,ccrdfconst_8641-8660.ttl,275,15,88,1
424,ccrdfconst_8661-8680.ttl,268,16,0,0
425,ccrdfconst_8681-8700.ttl,346,18,123,3
426,ccrdfconst_8721-8740.ttl,300,16,0,0
427,ccrdfconst_8741-8760.ttl,327,19,92,2
428,ccrdfconst_8761-8780.ttl,253,18,83,3
429,ccrdfconst_8781-8800.ttl,315,18,93,2
430,ccrdfconst_8801-8820.ttl,299,16,69,2
431,ccrdfconst_8821-8840.ttl,468,18,201,4
432,ccrdfconst_8841-8860.ttl,280,15,116,3
433,ccrdfconst_8881-8900.ttl,277,17,95,2
434,ccrdfconst_8901-8920.ttl,245,15,0,0
435,ccrdfconst_8921-8940.ttl,356,15,164,5
436,ccrdfconst_8941-8960.ttl,260,13,99,4
437,ccrdfconst_8961-8980.ttl,292,13,82,2
438,ccrdfconst_8981-9000.ttl,236,13,112,7
439,ccrdfconst_9001-9020.ttl,174,4,15,1
440,ccrdfconst_9021-9040.ttl,293,14,106,4
441,ccrdfconst_9041-9060.ttl,263,12,44,1
442,ccrdfconst_9061-9080.ttl,354,19,30,1
443,ccrdfconst_9081-9100.ttl,398,20,191,6
444,ccrdfconst_9101-9120.ttl,383,18,107,2
445,ccrdfconst_9121-9140.ttl,291,17,77,2
446,ccrdfconst_9141-9160.ttl,322,18,0,0
447,ccrdfconst_9161-9180.ttl,294,18,94,2
448,ccrdfconst_9181-9200.ttl,234,12,58,2
449,ccrdfconst_9201-9220.ttl,289,19,129,5
450,ccrdfconst_9221-9240.ttl,329,16,70,1
451,ccrdfconst_9241-9260.ttl,282,18,60,2
452,ccrdfconst_9261-9280.ttl,358,18,146,3
453,ccrdfconst_9281-9300.ttl,297,15,79,1
454,ccrdfconst_9301-9320.ttl,302,16,110,4
455,ccrdfconst_9321-9340.ttl,316,16,146,5
456,ccrdfconst_9341-9360.ttl,386,18,131,3
457,ccrdfconst_9361-9380.ttl,263,15,91,3
458,ccrdfconst_9381-9400.ttl,346,16,0,0
459,ccrdfconst_9401-9420.ttl,298,18,93,1
460,ccrdfconst_9441-9460.ttl,280,16,48,1
461,ccrdfconst_9461-9480.ttl,446,19,100,1
462,ccrdfconst_9481-9500.ttl,309,18,71,2
463,ccrdfconst_9501-9520.ttl,273,16,89,2
464,ccrdfconst_9521-9540.ttl,307,20,90,1
465,ccrdfconst_9541-9560.ttl,296,17,86,2
466,ccrdfconst_9561-9580.ttl,234,13,86,3
467,ccrdfconst_9581-9600.ttl,184,8,42,1
468,ccrdfconst_9601-9620.ttl,344,19,122,4
469,ccrdfconst_9621-9640.ttl,288,16,86,3
470,ccrdfconst_9641-9660.ttl,320,19,66,2
471,ccrdfconst_9661-9680.ttl,282,15,87,3
472,ccrdfconst_9681-9700.ttl,309,18,81,4
473,ccrdfconst_9701-9720.ttl,318,18,37,1
474,ccrdfconst_9721-9740.ttl,317,17,94,2
475,ccrdfconst_9741-9760.ttl,404,19,80,1
476,ccrdfconst_9761-9780.ttl,316,18,129,4
477,ccrdfconst_9781-9800.ttl,269,13,92,2
478,ccrdfconst_9801-9820.ttl,391,20,119,3
479,ccrdfconst_9821-9840.ttl,287,17,75,2
480,ccrdfconst_9841-9860.ttl,318,17,0,0
481,ccrdfconst_9861-9880.ttl,297,17,0,0
482,ccrdfconst_9881-9900.ttl,372,17,97,1
483,ccrdfconst_9901-9920.ttl,283,19,52,1
484,ccrdfconst_9921-9940.ttl,346,19,110,3
485,ccrdfconst_9941-9960.ttl,323,17,0,0
486,ccrdfconst_9961-9980.ttl,298,11,184,6
487,ccrdfconst_9981-10000.ttl,277,17,133,6
488,ccrdfconst_10001-10020.ttl,326,17,107,4
489,ccrdfconst_10021-10040.ttl,496,18,181,3
490,ccrdfconst_10061-10080.ttl,339,14,120,2
491,ccrdfconst_10081-10100.ttl,276,15,0,0
492,ccrdfconst_10101-10120.ttl,238,17,46,1
493,ccrdfconst_10121-10140.ttl,318,19,91,2
494,ccrdfconst_10141-10160.ttl,278,17,80,2
495,ccrdfconst_10161-10180.ttl,293,16,122,4
496,ccrdfconst_10181-10200.ttl,321,19,120,2
